200
200
(11,1)
(15,13)
(11,15)
(16,10)
(14,6)
(7,2)
(13,13)
(1,12)
(10,14)
(2,16)
(13,13)
(2,7)
(4,8)
(17,16)
(9,7)
(10,15)
(12,14)
(10,18)
(16,12)
(1,9)
(11,5)
(1,18)
(3,12)
(3,7)
(17,2)
(7,3)
(17,9)
(1,17)
(12,4)
(14,6)
(4,1)
(17,7)
(4,18)
(15,18)
(1,2)
(7,17)
(7,18)
(16,18)
(5,14)
(3,15)
(11,9)
(14,4)
(5,16)
(5,11)
(11,1)
(8,7)
(14,11)
(15,6)
(5,4)
(4,6)
(11,6)
(6,10)
(12,11)
(17,9)
(3,6)
(6,18)
(7,2)
(5,3)
(3,15)
(6,18)
(7,11)
(10,14)
(2,9)
(14,11)
(6,14)
(15,6)
(16,16)
(1,1)
(5,18)
(9,2)
(16,2)
(4,5)
(11,12)
(11,17)
(17,18)
(16,18)
(17,15)
(6,2)
(14,11)
(1,7)
(7,3)
(1,5)
(2,16)
(2,12)
(7,1)
(3,17)
(10,8)
(11,11)
(1,4)
(7,15)
(6,5)
(8,4)
(7,1)
(16,11)
(15,5)
(2,6)
(12,12)
(4,2)
(15,6)
(16,16)
(7,3)
(3,16)
(5,7)
(2,7)
(12,7)
(4,12)
(5,12)
(4,17)
(7,14)
(4,9)
(10,2)
(9,7)
(12,6)
(10,7)
(12,18)
(7,16)
(4,6)
(8,10)
(13,16)
(5,4)
(17,15)
(12,11)
(9,7)
(4,17)
(14,8)
(2,8)
(9,7)
(16,11)
(3,9)
(14,14)
(4,4)
(10,18)
(10,10)
(12,3)
(7,12)
(7,18)
(10,2)
(11,11)
(17,13)
(5,17)
(5,5)
(7,13)
(9,14)
(9,10)
(12,6)
(3,7)
(15,13)
(12,15)
(6,12)
(8,10)
(14,18)
(2,13)
(16,9)
(7,11)
(13,18)
(1,15)
(5,16)
(6,11)
(15,3)
(3,8)
(15,7)
(8,4)
(7,3)
(5,10)
(3,5)
(6,7)
(9,8)
(11,9)
(15,18)
(17,15)
(3,5)
(2,15)
(1,15)
(17,1)
(15,14)
(10,17)
(11,9)
(5,13)
(1,16)
(8,5)
(5,18)
(7,4)
(3,18)
(3,9)
(9,12)
(8,10)
(5,16)
(1,3)
(6,9)
(2,4)
(1,1)
(17,8)
(6,5)
(1,11)
(8,16)
(12,8)
(15,10)
(16,5)
(17,8)
(17,6)
